file,algorithm,time,value
kp_10_60,bruteforce,0.0053000450134277,52.0
kp_10_60,greedy,4.1961669921875e-05,52.0
kp_10_60,dynamic,0.0002548694610595,52.0
kp_20_878,bruteforce,5.3943657875061035,1024.0
kp_20_878,greedy,3.790855407714844e-05,1018.0
kp_20_878,dynamic,0.0072901248931884,1024.0
kp_20_879,bruteforce,5.422796726226807,1025.0
kp_20_879,greedy,3.790855407714844e-05,1019.0
kp_20_879,dynamic,0.0071191787719726,1025.0
kp_23_10000,bruteforce,42.78571391105652,9767.0
kp_23_10000,greedy,3.886222839355469e-05,9751.0
kp_23_10000,dynamic,0.1490421295166015,9767.0
kp_24_6404180,bruteforce,87.15708494186401,13549094.0
kp_24_6404180,greedy,5.602836608886719e-05,13415886.0
kp_24_6404180,dynamic,59.96058011054993,13549094.0
kp_4_11,bruteforce,0.0001070499420166,23.0
kp_4_11,greedy,4.506111145019531e-05,16.0
kp_4_11,dynamic,2.7894973754882812e-05,23.0
kp_4_20,bruteforce,0.0001149177551269,35.0
kp_4_20,greedy,5.507469177246094e-05,35.0
kp_4_20,dynamic,4.100799560546875e-05,35.0
kp_5_80,bruteforce,0.0001988410949707,130.0
kp_5_80,greedy,4.792213439941406e-05,130.0
kp_5_80,dynamic,0.0001609325408935,130.0
kp_7_50,bruteforce,0.0006880760192871,107.0
kp_7_50,greedy,3.600120544433594e-05,102.0
kp_7_50,dynamic,0.0001490116119384,107.0
kp_10_269,bruteforce,0.0051329135894775,295.0
kp_10_269,greedy,3.814697265625e-05,294.0
kp_10_269,dynamic,0.0010178089141845,295.0
kp_10_60,bruteforce,0.0054619312286376,52.0
kp_10_60,greedy,3.981590270996094e-05,52.0
kp_10_60,dynamic,0.0002429485321044,52.0
kp_20_878,bruteforce,5.23436713218689,1024.0
kp_20_878,greedy,4.100799560546875e-05,1018.0
kp_20_878,dynamic,0.0073549747467041,1024.0
kp_20_879,bruteforce,5.120248079299927,1025.0
kp_20_879,greedy,4.291534423828125e-05,1019.0
kp_20_879,dynamic,0.0079371929168701,1025.0
kp_23_10000,bruteforce,41.68599200248718,9767.0
kp_23_10000,greedy,4.00543212890625e-05,9751.0
kp_23_10000,dynamic,0.0925650596618652,9767.0
kp_24_6404180,bruteforce,85.35392212867737,13549094.0
kp_24_6404180,greedy,4.076957702636719e-05,13415886.0
kp_24_6404180,dynamic,59.81832408905029,13549094.0
kp_4_11,bruteforce,0.0001161098480224,23.0
kp_4_11,greedy,0.0001440048217773,16.0
kp_4_11,dynamic,8.20159912109375e-05,23.0
kp_4_20,bruteforce,0.0001239776611328,35.0
kp_4_20,greedy,4.100799560546875e-05,35.0
kp_4_20,dynamic,4.029273986816406e-05,35.0
kp_5_80,bruteforce,0.0002009868621826,130.0
kp_5_80,greedy,4.100799560546875e-05,130.0
kp_5_80,dynamic,0.0001618862152099,130.0
kp_7_50,bruteforce,0.0006790161132812,107.0
kp_7_50,greedy,4.076957702636719e-05,102.0
kp_7_50,dynamic,0.000166893005371,107.0
kp_10_269,bruteforce,0.0050969123840332,295.0
kp_10_269,greedy,4.673004150390625e-05,294.0
kp_10_269,dynamic,0.0012660026550292,295.0
kp_10_60,bruteforce,0.0051898956298828,52.0
kp_10_60,greedy,7.915496826171875e-05,52.0
kp_10_60,dynamic,0.0002779960632324,52.0
kp_20_878,bruteforce,5.691976070404053,1024.0
kp_20_878,greedy,4.792213439941406e-05,1018.0
kp_20_878,dynamic,0.0074338912963867,1024.0
kp_20_879,bruteforce,5.478912830352783,1025.0
kp_20_879,greedy,4.601478576660156e-05,1019.0
kp_20_879,dynamic,0.0075299739837646,1025.0
kp_23_10000,bruteforce,42.82982015609741,9767.0
kp_23_10000,greedy,4.315376281738281e-05,9751.0
kp_23_10000,dynamic,0.0985548496246337,9767.0
kp_24_6404180,bruteforce,84.73466897010803,13549094.0
